,Name,Cuisine_Type,Rating,Review_Count
296,Restaurant Junca,"['Bar', 'Grill']",5.0,7
297,La Alcoba Azul - Tapas,"['Mediterranean', 'European']",4.5,1385
298,Bar La Plata,"['Bar', 'Mediterranean']",4.5,777
299,Milk Bar & Bistro,"['Bar', 'Cafe']",4.5,2729
300,La Guinda,"['International', 'Mediterranean']",4.5,147
301,Messie Sin Gluten Gracia - Gluten free,"['Pizza', 'Italian']",4.5,611
302,Jay's Japanese,['Japanese'],5.0,54
303,Granja Elena,"['Mediterranean', 'European']",4.5,374
304,Taller de Tapas - Argenteria,"['Mediterranean', 'Healthy']",4.0,2402
305,Aladdin Restaurante,"['Arabic', 'Lebanese']",4.5,943
306,Restaurante Filigrana,"['Contemporary', 'Catalan']",4.5,793
307,Restaurante Kurai,"['Japanese', 'Sushi']",4.5,707
308,Bella Venezia,['Italian'],5.0,102
309,Bodega Vasconia,"['Seafood', 'Mediterranean']",4.5,1585
310,La Garriga,"['Mediterranean', 'European']",4.5,371
311,Raco D'en Cesc,"['Mediterranean', 'European']",4.5,603
312,Chilango's Taqueria Barcelona,"['Mexican', 'Latin']",4.5,539
313,Kook,"['Mediterranean', 'Seafood']",4.5,619
314,YUBI Barcelona,"['French', 'Japanese']",4.0,15
315,Vivant,"['Mediterranean', 'European']",4.5,874
316,Malaysia,"['Malaysian', 'Street Food']",4.5,238
317,Plan B 12,"['Latin', 'Bar']",5.0,62
318,Quinoa Bar Vegetaria,"['Mediterranean', 'Healthy']",4.5,453
319,Ascent Restaurant,['European'],4.5,440
320,Malaysian Street Delights,"['Chinese', 'Asian']",5.0,22
321,Rincon Persa,"['Middle Eastern', 'Persian']",4.5,430
322,Vegetalia Born,"['Spanish', 'Healthy']",4.5,1206
323,Jardinet De Gracia,['Mediterranean'],5.0,88
324,Entre Hores,"['Brew Pub', 'Mediterranean']",4.5,232
325,Restaurant Etapes,"['Healthy', 'Mediterranean']",4.5,1224
326,Monster Sushi - Girona 68,"['Japanese', 'Asian']",5.0,12
327,De-paso by Tras Paso,"['Mediterranean', 'European']",4.5,268
328,Mamma Italia,"['Italian', 'Pizza']",4.5,271
329,La Nueva Marquesa,"['Mediterranean', 'European']",4.5,396
330,El Casal,"['Mediterranean', 'European']",4.5,992
331,El Dorado Chicken,"['Peruvian', 'Latin']",4.5,672
332,makis,"['Sushi', 'Asian']",4.5,78
333,YUBI Barcelona,"['French', 'Japanese']",4.0,15
334,La Taula,"['Mediterranean', 'European']",4.5,249
